url_path,views_total,views_unique
/marcin-l/PegaDevTools,34,18
/marcin-l/PegaDevTools/releases/tag/1.0,20,7
/marcin-l/PegaDevTools/wiki,18,7
/marcin-l/PegaDevTools/issues,15,3
/marcin-l/PegaDevTools/commit/cf0e16cf6ae4774f34286f70d5f85ba9a0dc0568,14,3
/marcin-l/PegaDevTools/wiki/Configuration,13,3
/marcin-l/PegaDevTools/commit/0c0ff71b5c40c36314cf9acc4be28085d4c07198,12,3
/marcin-l/PegaDevTools/commit/263c9c053326bd324db42014bdfd1ac884c250bb,12,3
/marcin-l/PegaDevTools/commit/399b65303001e8cd0064b6e65ebb89ef28848873,12,3
/marcin-l/PegaDevTools/commit/4a5e495a50921b5bc3112ebc73964e272f7f4c7e,12,3
