referrer,views_total,views_unique
Google,76,32
linkedin.com,75,43
statics.teams.cdn.office.net,46,9
com.linkedin.android,38,27
github.com,24,11
knowledgehub.pega.com,23,5
wwiwiki.ww-intern.de,7,2
Bing,3,3
issues.ww-intern.de,2,2
lnkd.in,1,1
