url_path,views_total,views_unique
/marcin-l/PegaDevTools,28,16
/marcin-l/PegaDevTools/issues,13,3
/marcin-l/PegaDevTools/wiki,10,4
/marcin-l/PegaDevTools/releases/tag/1.0,9,4
/marcin-l/PegaDevTools/wiki/Configuration,6,2
/marcin-l/PegaDevTools/blob/master/manifest.json,5,2
/marcin-l/PegaDevTools/commit/64c1cbe56e4c2628590a48aab353c328c0108cb6,5,2
/marcin-l/PegaDevTools/commit/fe083e8cc0de3bac5283636e4005ee490f450668,5,2
/marcin-l/PegaDevTools/activity,4,3
/marcin-l/PegaDevTools/blob/master/background.js,4,3
