url_path,views_total,views_unique
/marcin-l/PegaDevTools,27,10
/marcin-l/PegaDevTools/releases/tag/1.0,22,8
/marcin-l/PegaDevTools/wiki,18,5
/marcin-l/PegaDevTools/issues,17,4
/marcin-l/PegaDevTools/commit/fe083e8cc0de3bac5283636e4005ee490f450668,17,3
/marcin-l/PegaDevTools/wiki/Configuration,17,3
/marcin-l/PegaDevTools/commit/64c1cbe56e4c2628590a48aab353c328c0108cb6,16,3
/marcin-l/PegaDevTools/commit/977cba9feda88452e8342c53634709d7794c0b5a,16,3
/marcin-l/PegaDevTools/commit/263c9c053326bd324db42014bdfd1ac884c250bb,15,3
/marcin-l/PegaDevTools/commit/3b6f9f7f9533a4d8dd4240e5de97c4a7f9e5e70d,15,3
