time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-22 00:00:00+00:00,2,2,,
2023-01-23 00:00:00+00:00,149,4,1.0,1.0
2023-01-24 00:00:00+00:00,4,2,9.0,3.0
2023-01-25 00:00:00+00:00,4,2,19.0,4.0
2023-01-26 00:00:00+00:00,4,2,,
2023-01-27 00:00:00+00:00,53,3,,
2023-01-28 00:00:00+00:00,3,3,1.0,1.0
2023-01-29 00:00:00+00:00,4,2,1.0,1.0
2023-01-30 00:00:00+00:00,4,3,51.0,5.0
2023-01-31 00:00:00+00:00,6,4,7.0,5.0
2023-02-01 00:00:00+00:00,5,3,17.0,5.0
2023-02-02 00:00:00+00:00,4,2,22.0,9.0
2023-02-03 00:00:00+00:00,6,4,,
