time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-05-11 00:00:00+00:00,3,2,94,24
2023-05-12 00:00:00+00:00,3,2,43,10
2023-05-13 00:00:00+00:00,3,2,6,4
2023-05-14 00:00:00+00:00,3,2,32,22
2023-05-15 00:00:00+00:00,5,4,72,32
2023-05-16 00:00:00+00:00,1,1,63,19
2023-05-17 00:00:00+00:00,3,2,127,35
2023-05-18 00:00:00+00:00,5,4,64,22
2023-05-19 00:00:00+00:00,3,2,25,12
2023-05-20 00:00:00+00:00,3,2,8,3
2023-05-21 00:00:00+00:00,3,2,11,5
2023-05-22 00:00:00+00:00,8,5,68,20
2023-05-23 00:00:00+00:00,3,2,15,7
2023-05-24 00:00:00+00:00,1,1,21,11
