time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-31 00:00:00+00:00,17,7,,
2025-11-01 00:00:00+00:00,3,3,,
2025-11-02 00:00:00+00:00,3,3,3.0,1.0
2025-11-03 00:00:00+00:00,19,5,5.0,4.0
2025-11-04 00:00:00+00:00,6,4,2.0,2.0
2025-11-05 00:00:00+00:00,14,7,10.0,6.0
2025-11-06 00:00:00+00:00,14,7,5.0,3.0
2025-11-07 00:00:00+00:00,18,7,4.0,3.0
2025-11-08 00:00:00+00:00,10,4,4.0,1.0
2025-11-09 00:00:00+00:00,3,2,,
2025-11-10 00:00:00+00:00,4,4,,
2025-11-11 00:00:00+00:00,10,4,1.0,1.0
2025-11-12 00:00:00+00:00,17,11,1.0,1.0
2025-11-13 00:00:00+00:00,8,3,4.0,2.0
