time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-22 00:00:00+00:00,1,1,1.0,1.0
2025-06-23 00:00:00+00:00,3,3,7.0,3.0
2025-06-24 00:00:00+00:00,1,1,5.0,1.0
2025-06-25 00:00:00+00:00,1,1,3.0,1.0
2025-06-26 00:00:00+00:00,5,5,3.0,1.0
2025-06-27 00:00:00+00:00,5,5,2.0,2.0
2025-06-28 00:00:00+00:00,4,4,,
2025-06-29 00:00:00+00:00,1,1,1.0,1.0
2025-06-30 00:00:00+00:00,6,6,6.0,3.0
2025-07-01 00:00:00+00:00,2,2,18.0,1.0
2025-07-02 00:00:00+00:00,2,2,5.0,2.0
2025-07-03 00:00:00+00:00,5,5,12.0,5.0
2025-07-04 00:00:00+00:00,1,1,,
2025-07-05 00:00:00+00:00,1,1,12.0,2.0
