time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-26 00:00:00+00:00,16,7,1,1
2026-05-27 00:00:00+00:00,20,7,7,3
2026-05-28 00:00:00+00:00,19,9,20,3
2026-05-29 00:00:00+00:00,18,9,55,2
2026-05-30 00:00:00+00:00,17,8,47,1
2026-05-31 00:00:00+00:00,16,10,48,2
2026-06-01 00:00:00+00:00,19,10,18,2
2026-06-02 00:00:00+00:00,15,6,1,1
2026-06-03 00:00:00+00:00,15,6,0,0
2026-06-04 00:00:00+00:00,9,5,6,1
2026-06-05 00:00:00+00:00,12,7,10,1
2026-06-06 00:00:00+00:00,16,7,0,0
2026-06-07 00:00:00+00:00,15,6,3,2
2026-06-08 00:00:00+00:00,15,6,2,1
