url_path,views_total,views_unique
/marcin-l/PegaDevTools,20,8
/marcin-l/PegaDevTools/wiki,12,5
/marcin-l/PegaDevTools/releases/tag/1.0,11,5
/marcin-l/PegaDevTools/wiki/Configuration,10,4
/marcin-l/PegaDevTools/issues,9,3
/marcin-l/PegaDevTools/commit/64c1cbe56e4c2628590a48aab353c328c0108cb6,9,2
/marcin-l/PegaDevTools/commit/977cba9feda88452e8342c53634709d7794c0b5a,8,2
/marcin-l/PegaDevTools/commit/0c0ff71b5c40c36314cf9acc4be28085d4c07198,7,2
/marcin-l/PegaDevTools/commit/263c9c053326bd324db42014bdfd1ac884c250bb,7,2
/marcin-l/PegaDevTools/commit/38ec09b91709d759d645237b2d526aef71061fdb,7,2
