referrer,views_total,views_unique
Google,46,13
com.linkedin.android,28,8
linkedin.com,20,13
github.com,14,9
statics.teams.cdn.office.net,11,4
Bing,4,3
knowledgehub.pega.com,3,3
confluence.cdiscount.com,2,1
