time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-14 00:00:00+00:00,20,5,47,2
2026-04-15 00:00:00+00:00,8,4,4,3
2026-04-16 00:00:00+00:00,11,6,5,3
2026-04-17 00:00:00+00:00,12,4,16,6
2026-04-18 00:00:00+00:00,30,9,50,3
2026-04-19 00:00:00+00:00,15,8,2,2
2026-04-20 00:00:00+00:00,39,20,1,1
2026-04-21 00:00:00+00:00,65,24,47,4
2026-04-22 00:00:00+00:00,83,27,45,2
2026-04-23 00:00:00+00:00,55,20,56,2
2026-04-24 00:00:00+00:00,97,29,3,2
2026-04-25 00:00:00+00:00,70,27,52,1
2026-04-26 00:00:00+00:00,38,11,60,2
2026-04-27 00:00:00+00:00,18,5,44,4
