time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-13 00:00:00+00:00,29,6,22,1
2026-05-14 00:00:00+00:00,17,6,38,6
2026-05-15 00:00:00+00:00,2,2,28,5
2026-05-16 00:00:00+00:00,23,6,50,1
2026-05-17 00:00:00+00:00,17,8,51,4
2026-05-18 00:00:00+00:00,20,6,39,5
2026-05-19 00:00:00+00:00,33,8,30,5
2026-05-20 00:00:00+00:00,15,6,20,2
2026-05-21 00:00:00+00:00,22,8,16,2
2026-05-22 00:00:00+00:00,8,3,39,1
2026-05-23 00:00:00+00:00,14,5,51,1
2026-05-24 00:00:00+00:00,15,6,1,1
2026-05-25 00:00:00+00:00,17,7,46,1
2026-05-26 00:00:00+00:00,16,7,1,1
