time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-23 00:00:00+00:00,2,2,5.0,2.0
2025-11-24 00:00:00+00:00,3,3,16.0,2.0
2025-11-25 00:00:00+00:00,2,2,18.0,4.0
2025-11-26 00:00:00+00:00,2,2,12.0,2.0
2025-11-27 00:00:00+00:00,2,2,1.0,1.0
2025-11-28 00:00:00+00:00,4,4,1.0,1.0
2025-11-29 00:00:00+00:00,3,3,,
2025-11-30 00:00:00+00:00,2,2,1.0,1.0
2025-12-01 00:00:00+00:00,52,12,,
2025-12-02 00:00:00+00:00,37,9,9.0,2.0
2025-12-03 00:00:00+00:00,115,27,2.0,1.0
2025-12-04 00:00:00+00:00,3,3,93.0,7.0
2025-12-05 00:00:00+00:00,11,7,6.0,2.0
2025-12-06 00:00:00+00:00,1,1,1.0,1.0
