time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-05-06 00:00:00+00:00,5.0,3.0,46,28
2023-05-07 00:00:00+00:00,3.0,2.0,59,32
2023-05-08 00:00:00+00:00,4.0,3.0,101,32
2023-05-09 00:00:00+00:00,3.0,2.0,59,35
2023-05-10 00:00:00+00:00,5.0,3.0,68,25
2023-05-11 00:00:00+00:00,3.0,2.0,94,24
2023-05-12 00:00:00+00:00,3.0,2.0,43,10
2023-05-13 00:00:00+00:00,3.0,2.0,6,4
2023-05-14 00:00:00+00:00,3.0,2.0,32,22
2023-05-15 00:00:00+00:00,5.0,4.0,72,32
2023-05-16 00:00:00+00:00,1.0,1.0,63,19
2023-05-17 00:00:00+00:00,3.0,2.0,127,35
2023-05-18 00:00:00+00:00,5.0,4.0,64,22
2023-05-19 00:00:00+00:00,,,25,12
