time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-20 00:00:00+00:00,39,20,1,1
2026-04-21 00:00:00+00:00,65,24,47,4
2026-04-22 00:00:00+00:00,83,27,45,2
2026-04-23 00:00:00+00:00,55,20,56,2
2026-04-24 00:00:00+00:00,97,29,3,2
2026-04-25 00:00:00+00:00,70,27,52,1
2026-04-26 00:00:00+00:00,38,11,60,2
2026-04-27 00:00:00+00:00,18,5,44,4
2026-04-28 00:00:00+00:00,13,4,12,5
2026-04-29 00:00:00+00:00,41,11,41,4
2026-04-30 00:00:00+00:00,22,7,12,6
2026-05-01 00:00:00+00:00,18,4,48,3
2026-05-02 00:00:00+00:00,30,8,52,1
2026-05-03 00:00:00+00:00,23,8,51,1
