url_path,views_total,views_unique
/marcin-l/PegaDevTools,30,14
/marcin-l/PegaDevTools/wiki,15,4
/marcin-l/PegaDevTools/releases/tag/1.0,15,3
/marcin-l/PegaDevTools/commit/cf0e16cf6ae4774f34286f70d5f85ba9a0dc0568,12,2
/marcin-l/PegaDevTools/issues,12,2
/marcin-l/PegaDevTools/wiki/Configuration,12,2
/marcin-l/PegaDevTools/commit/071e52aab0bd15d5de75b576feaa4cd835cc16ab,10,2
/marcin-l/PegaDevTools/commit/263c9c053326bd324db42014bdfd1ac884c250bb,10,2
/marcin-l/PegaDevTools/commit/399b65303001e8cd0064b6e65ebb89ef28848873,10,2
/marcin-l/PegaDevTools/commit/3b6f9f7f9533a4d8dd4240e5de97c4a7f9e5e70d,10,2
