time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-12 00:00:00+00:00,5,4,17.0,2.0
2023-10-13 00:00:00+00:00,1,1,2.0,2.0
2023-10-14 00:00:00+00:00,1,1,,
2023-10-15 00:00:00+00:00,1,1,6.0,1.0
2023-10-16 00:00:00+00:00,2,2,,
2023-10-17 00:00:00+00:00,1,1,8.0,3.0
2023-10-18 00:00:00+00:00,2,2,1.0,1.0
2023-10-19 00:00:00+00:00,3,3,7.0,5.0
2023-10-20 00:00:00+00:00,2,2,,
2023-10-21 00:00:00+00:00,3,3,,
2023-10-22 00:00:00+00:00,2,2,,
2023-10-23 00:00:00+00:00,3,3,,
2023-10-24 00:00:00+00:00,1,1,11.0,5.0
