referrer,views_total,views_unique
Google,25,7
github.com,10,4
com.linkedin.android,3,2
statics.teams.cdn.office.net,3,1
linkedin.com,2,2
m.facebook.com,1,1
greenfield-zone.atlassian.net,1,1
Bing,1,1
