time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-06-04 00:00:00+00:00,3,2,3,3
2023-06-05 00:00:00+00:00,5,4,42,8
2023-06-06 00:00:00+00:00,4,3,14,6
2023-06-07 00:00:00+00:00,3,2,13,8
2023-06-08 00:00:00+00:00,3,2,11,7
2023-06-09 00:00:00+00:00,3,2,9,5
2023-06-10 00:00:00+00:00,3,2,1,1
2023-06-11 00:00:00+00:00,4,3,17,3
2023-06-12 00:00:00+00:00,4,3,3,3
2023-06-13 00:00:00+00:00,3,2,15,4
2023-06-14 00:00:00+00:00,3,2,3,3
2023-06-15 00:00:00+00:00,3,2,3,2
2023-06-16 00:00:00+00:00,3,2,1,1
