referrer,views_total,views_unique
linkedin.com,384,222
com.linkedin.android,228,165
Google,120,56
github.com,43,13
Bing,9,1
statics.teams.cdn.office.net,7,3
lnkd.in,6,6
keep.google.com,2,2
l.facebook.com,2,1
DuckDuckGo,1,1
