time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-02 00:00:00+00:00,3,2,,
2025-03-03 00:00:00+00:00,5,3,,
2025-03-04 00:00:00+00:00,6,3,1.0,1.0
2025-03-05 00:00:00+00:00,4,3,10.0,3.0
2025-03-06 00:00:00+00:00,6,4,18.0,2.0
2025-03-07 00:00:00+00:00,1,1,3.0,3.0
2025-03-08 00:00:00+00:00,1,1,,
2025-03-09 00:00:00+00:00,9,6,2.0,2.0
2025-03-10 00:00:00+00:00,7,7,13.0,5.0
2025-03-11 00:00:00+00:00,4,4,10.0,3.0
2025-03-12 00:00:00+00:00,2,2,10.0,3.0
2025-03-13 00:00:00+00:00,1,1,32.0,9.0
2025-03-14 00:00:00+00:00,5,2,18.0,6.0
2025-03-15 00:00:00+00:00,1,1,1.0,1.0
