time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-06-27 00:00:00+00:00,2,2,5.0,3.0
2023-06-28 00:00:00+00:00,3,2,8.0,3.0
2023-06-29 00:00:00+00:00,3,2,6.0,3.0
2023-06-30 00:00:00+00:00,3,2,17.0,6.0
2023-07-01 00:00:00+00:00,3,2,3.0,2.0
2023-07-02 00:00:00+00:00,4,3,1.0,1.0
2023-07-03 00:00:00+00:00,5,4,47.0,12.0
2023-07-04 00:00:00+00:00,3,2,16.0,8.0
2023-07-05 00:00:00+00:00,3,2,5.0,4.0
2023-07-06 00:00:00+00:00,3,2,22.0,5.0
2023-07-07 00:00:00+00:00,3,2,2.0,2.0
2023-07-08 00:00:00+00:00,3,2,,
2023-07-09 00:00:00+00:00,3,2,3.0,1.0
2023-07-10 00:00:00+00:00,3,3,25.0,6.0
