time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-05 00:00:00+00:00,2,2,2.0,1.0
2023-02-06 00:00:00+00:00,4,3,2.0,2.0
2023-02-07 00:00:00+00:00,1,1,31.0,6.0
2023-02-08 00:00:00+00:00,8,4,74.0,6.0
2023-02-09 00:00:00+00:00,2,2,23.0,4.0
2023-02-10 00:00:00+00:00,1,1,2.0,2.0
2023-02-11 00:00:00+00:00,14,4,,
2023-02-12 00:00:00+00:00,1,1,,
2023-02-13 00:00:00+00:00,2,2,1.0,1.0
2023-02-14 00:00:00+00:00,1,1,6.0,4.0
2023-02-15 00:00:00+00:00,1,1,,
2023-02-16 00:00:00+00:00,1,1,1.0,1.0
2023-02-17 00:00:00+00:00,1,1,8.0,1.0
